nombre,apellido,front,back,email,bootcamp
Caleb,Murphy,1,5,trocha@crawford.com,bilbao
Kristen,Boone,5,5,leblancmarcus@yahoo.com,bilbao
Andres,Hernandez,1,3,wandabuchanan@hotmail.com,bilbao
Michael,Richardson,4,5,gomezpreston@gmail.com,bilbao
Carrie,Turner,2,4,zayala@yahoo.com,bilbao
Miranda,Quinn,5,2,marshallnicholas@hotmail.com,bilbao
Joshua,Clay,3,1,dudleyerin@graham.com,bilbao
Nathaniel,Stark,1,4,bhouse@henson-bautista.com,bilbao
Joshua,Scott,5,3,veronicarollins@yahoo.com,bilbao
Samuel,Hale,5,3,dillonfrank@dyer.com,bilbao
Michael,Ali,4,1,lewismichele@thompson.org,bilbao
Michelle,Mckinney,4,4,laurapratt@hotmail.com,bilbao
Jeffrey,Knox,3,3,rmeyer@williams.info,bilbao
Laura,Schneider,2,4,brownchristopher@horn.com,bilbao
Zachary,Rojas,5,1,jessicahernandez@ibarra.org,bilbao
Thomas,Yang,1,2,kristineedwards@hotmail.com,bilbao
Samuel,Riggs,5,4,lucasderek@hotmail.com,bilbao
Mark,Curtis,4,5,johnsbrandon@campbell.info,bilbao
Lauren,Alexander,1,4,joe76@hotmail.com,bilbao
Cheyenne,Morales,5,3,edward26@hunt-dean.com,bilbao
Erin,Padilla,4,5,tsingh@hotmail.com,vitoria
Ronald,Austin,5,3,sskinner@hotmail.com,vitoria
Catherine,Stone,2,3,lejames@hotmail.com,vitoria
Alan,Johnson,3,2,hdecker@miller.biz,vitoria
Jeremy,Molina,1,3,jamesrivers@hotmail.com,vitoria
Eric,Atkins,5,5,kbolton@evans.com,vitoria
Emily,Elliott,3,3,smalltammy@gomez.com,vitoria
Dwayne,Vaughan,2,3,barneschristopher@gmail.com,vitoria
Michelle,Roberson,2,5,jamesalexander@yahoo.com,vitoria
Kimberly,Pope,3,2,schmittrichard@pope-page.com,vitoria
Toni,Lowe,5,1,garzasherry@johnson.biz,vitoria
Ashley,Beck,5,5,robert70@davis.com,vitoria
Daniel,Jackson,1,1,derekgreen@lambert.org,vitoria
Becky,Fitzpatrick,5,3,kelly72@hotmail.com,vitoria
Omar,Williams,2,1,elizabeth78@welch.com,vitoria
Brandon,Barnes,2,3,brownbrittany@hotmail.com,vitoria
Michael,Mitchell,5,2,qmiller@hotmail.com,vitoria
Allen,Adams,5,4,wgentry@hotmail.com,vitoria
David,Andrade,4,1,rodneyglenn@yahoo.com,
Judy,Houston,4,1,jason57@sanchez-casey.info,vitoria
Joshua,Griffin,1,3,hpreston@hamilton.com,madrid
Tiffany,West,3,1,silvalisa@gmail.com,madrid
Alyssa,Farmer,3,1,arroyomicheal@baker.com,madrid
Roger,Huber,2,3,victorburnett@anderson.biz,madrid
Timothy,Johnston,4,5,josephwright@harmon.com,madrid
Stanley,Mueller,4,4,lucas24@hotmail.com,madrid
Krista,Carrillo,2,5,james44@johnson.com,madrid
Danielle,Boyd,3,1,hfoster@jacobs-ferguson.com,madrid
